email,association_name,name,location,city,department,region,country,phone,website,type,language,specialization,notes,
info@pigini.com,,Pigini Accordions,,Castelfidardo,,Marche,IT,071 7820067,https://www.pigini.com,Manufacturer,it,Fisarmonica,Costruttore,
info@musicapopoalre.it,,Musica Popolare Italiana,,Roma,,Nazionale,IT,,,Association,it,Musica tradizionale,Associazione,
scuolaorganetto@gmail.com,,Scuola di Organetto,,Roma,,Lazio,IT,,,School,it,Organetto,Scuola musica,
info@fisarmonicaonline.it,,Fisarmonica Online,,Milano,,Nazionale,IT,,,Online Store,it,Fisarmonica,Negozio online,
contatto@folkitalia.it,,Folk Italia,,Various,,Nazionale,IT,,,Network,it,Musica folk,Rete,
organetto.abruzzo@gmail.com,,Organetto Abruzzo,,L'Aquila,,Abruzzo,IT,,,Regional Association,it,Organetto,Associazione regionale,
info@musicatradizionale.com,,Centro Musica Tradizionale,,Napoli,,Campania,IT,,,Cultural Center,it,Musica tradizionale,Centro culturale,
info@ballotrad.it,,Ballo Tradizionale Italia,,Various,,Nazionale,IT,,,Dance Association,it,Danza tradizionale,Associazione danza,
fisarmonica@musicatorino.it,,Scuola di Fisarmonica Torino,,Torino,,Piemonte,IT,,,School,it,Fisarmonica,Scuola,
info@tarantella.org,,Tarantella Association,,Napoli,,Campania,IT,,,Cultural Association,it,Tarantella/Organetto,Associazione,
contatto@salterello.it,,Salterello - Musica Tradizionale,,Roma,,Lazio,IT,,,Association,it,Musica popolare,Gruppo,
info@weltmeister-italia.it,,Weltmeister Italia,,Milano,,Lombardia,IT,,,Distributor,it,Fisarmonica,Distributore,
luthier@organetto-repair.it,,Organetto Repair Service,,Ancona,,Marche,IT,,,Luthier,it,Organetto,Riparazione,
info@festivalorganetto.it,,Festival dell'Organetto,,Scanno,,Abruzzo,IT,,,Festival,it,Organetto,Festival annuale,
info@comhaltas.ie,,Comhaltas Ceoltóirí Éireann,,Dublin,,National,IE,,https://comhaltas.ie,National Federation,en,Irish Traditional Music,National organization,
info@itma.ie,,Irish Traditional Music Archive,,Dublin,,National,IE,01 295 1809,https://www.itma.ie,Archive,en,Traditional Irish Music,Archive & resource center,
buttonaccordion@eircom.net,,Button Accordion Ireland,,Various,,National,IE,,,Association,en,Button Accordion,Irish button accordion,
info@ccedublin.ie,,CCE Dublin,,Dublin,,Leinster,IE,,https://www.ccedublin.ie,Regional Branch,en,Traditional Music,Comhaltas Dublin,
corkcomhaltas@gmail.com,,CCE Cork,,Cork,,Munster,IE,,,Regional Branch,en,Traditional Music,Comhaltas Cork,
info@musicnetwork.ie,,Music Network,,Dublin,,National,IE,01 605 1300,https://www.musicnetwork.ie,Network,en,Traditional Music,Music development,
info@artscouncil.ie,,Arts Council Ireland,,Dublin,,National,IE,01 618 0200,https://www.artscouncil.ie,Government Agency,en,All Arts,Arts funding,
fleadh@fleadhcheoil.ie,,Fleadh Cheoil,,Various,,National,IE,,,Festival,en,Traditional Music,Annual festival,
info@traditionaltune.com,,Traditional Tune Archive,,Dublin,,National,IE,,,Online Resource,en,Traditional Music,Tune database,
buttonbox@ireland.com,,Button Box School,,Galway,,National,IE,,,School,en,Button Accordion,Music school,
concertina@eircom.net,,Irish Concertina Association,,Clare,,National,IE,,,Association,en,Concertina,Concertina players,
info@mcneela.eu,,McNeela Instruments,,Sligo,,Connacht,IE,071 916 5847,https://www.mcneela.eu,Music Store,en,Traditional Instruments,Instrument shop,
info@gael-linn.ie,,Gael Linn,,Dublin,,National,IE,01 675 1200,https://www.gael-linn.ie,Cultural Organization,ga/en,Irish Language & Music,Cultural promotion,
trad@rte.ie,,RTÉ Traditional Music,,Dublin,,National,IE,,,Media,en,Traditional Music,Broadcasting,
info@oireachtas.ie,,Oireachtas na Gaeilge,,Dublin,,National,IE,,,Festival,ga/en,Irish Music & Culture,Annual festival,
ccewest@gmail.com,,CCE Western Region,,Galway,,Connacht,IE,,,Regional Branch,en,Traditional Music,Comhaltas West,
melodeon@ireland.ie,,Irish Melodeon Players,,Various,,National,IE,,,Association,en,Melodeon,Player network,
sessionireland@gmail.com,,Session Ireland,,Various,,National,IE,,,Network,en,Traditional Sessions,Session network,
info@templetrad.ie,,Temple Bar Trad,,Dublin,,Leinster,IE,,,Venue/School,en,Traditional Music,Music venue & school,
irishmusic@ucc.ie,,UCC Irish Music Department,,Cork,,Munster,IE,021 490 3000,,University,en,Traditional Music,Academic program,
info@folkarts-england.org,,Folk Arts England,,Matlock,,National,GB,01629 827411,,Network,en,Folk Arts,Development agency,
melodeon@folkclub.org.uk,,Melodeon.net,,Various,,National,GB,,https://www.melodeon.net,Online Resource,en,Melodeon,Player resource,
info@cecilsharp.org,,Cecil Sharp House,,London,,England,GB,020 7485 2206,,Cultural Center,en,Folk Music,EFDSS headquarters,
scottishmusic@scotland.com,,Traditional Music Scotland,,Edinburgh,,Scotland,GB,,,Association,en,Scottish Traditional,Scottish trad music,
info@folkwales.org.uk,,Folk Wales,,Cardiff,,Wales,GB,,,Network,en,Welsh Folk,Welsh folk music,
morris@morrisfed.org.uk,,Morris Federation,,Various,,England,GB,,,Dance Federation,en,Morris Dancing,Morris dance network,
ceilidh@scotland.net,,Scottish Ceilidh Association,,Various,,Scotland,GB,,,Association,en,Ceilidh,Ceilidh bands & callers,
info@thefullenglisg.co.uk,,The Full English,,Various,,England,GB,,https://www.thefulleng,,,,,
lish.co.uk,,en,,Folk music archive,,English Folk,Digital Archive,,,,,,,
melodeon.lessons@gmail.com,,Melodeon Lessons UK,,Various,,National,GB,,,Teacher Network,en,Melodeon,Teachers directory,
info@folkeast.co.uk,,FolkEast Festival,,Suffolk,,England,GB,,,Festival,en,Folk Music,Annual festival,
cambridgefolk@festival.org.uk,,Cambridge Folk Festival,,Cambridge,,England,GB,01223 457245,,Festival,en,Folk Music,Major folk festival,
info@sidmouth-folkweek.co.uk,,Sidmouth Folk Festival,,Devon,,England,GB,,,Festival,en,Folk Music & Dance,Folk week,
concertina@ics.org.uk,,International Concertina Association,,Various,,National,GB,,,Association,en,Concertina,ICA UK branch,
folkclub@london.co.uk,,London Folk Club,,London,,England,GB,,,Folk Club,en,Folk Music,Weekly sessions,
info@accordionshop.co.uk,,Accordion Shop UK,,Birmingham,,England,GB,0121 773 0896,,Music Store,en,Accordion,Specialist shop,
info@accordionrepairs.co.uk,,Accordion Repairs UK,,Manchester,,England,GB,,,Luthier,en,Accordion,Repair service,
trad@irishinlondon.com,,Irish Music in London,,London,,England,GB,,,Network,en,Irish Traditional,Irish music scene London,
info@balfolk.be,,Balfolk Belgium,,Brussels,,National,BE,,,Network,fr/nl,Bal Folk,Réseau bal folk,
contact@muziekcentrum.be,,Muziekcentrum Vlaanderen,,Brussels,,Vlaanderen,BE,02 502 89 10,https://www.muziekcentrum.be,Music Center,nl,Folk Music,Centre musical,
info@folkinbelgium.be,,Folk in Belgium,,Various,,National,BE,,,Network,fr/nl/en,Folk Music,Folk network,
accordeon@volksmuziek.be,,Volksmuziek Vereniging,,Antwerpen,,Vlaanderen,BE,,,Association,nl,Volksmuziek,Association,
info@traditionalmusic.be,,Traditional Music Belgium,,Liège,,Wallonie,BE,,,Association,fr,Musique traditionnelle,Association,
balfolk.brussels@gmail.com,,Balfolk Brussels,,Brussels,,Brussels,BE,,,Association,fr/nl,Bal Folk,Organisateur bal folk,
info@muziekschoolantwerpen.be,,Muziekschool Antwerpen,,Antwerpen,,Vlaanderen,BE,,,Music School,nl,Accordeon,École de musique,
contact@folknamiddag.be,,Folk Namiddag,,Gent,,Vlaanderen,BE,,,Event Organizer,nl,Folk,Organisateur,
accordeon.liege@skynet.be,,Accordéon Liège,,Liège,,Wallonie,BE,,,School,fr,Accordéon,École,
info@celticcorners.be,,Celtic Corners,,Brussels,,National,BE,,,Festival,en,Celtic/Folk,Festival,
tradmusic@belgium.be,,Trad Music Belgium,,Various,,National,BE,,,Network,fr/nl,Traditional Music,Réseau,
info@muziekinstrumenten.be,,Muziekinstrumenten Shop,,Brussels,,Vlaanderen,BE,,,Music Store,nl,Accordeon,Magasin,
balfolk.gent@gmail.com,,Balfolk Gent,,Gent,,Vlaanderen,BE,,,Association,nl,Bal Folk,Association,
accordeon@conservatoire-bruxelles.be,,Conservatoire Royal de Bruxelles,,Brussels,,Brussels,BE,02 511 04 27,,Conservatory,fr,Accordéon,Conservatoire,
info@folkfestival.be,,Folk Festival Belgium,,Various,,National,BE,,,Festival,fr/nl/en,Folk,Festival,
info@eidg-jodlerverband.ch,,Eidgenössischer Jodlerverband,,Baar,,National,CH,041 767 17 80,https://www.jodlerverband.ch,National Federation,de,Jodel/Schwyzerörgeli,Fédération nationale,
info@schwyzerorgeli.ch,,Schwyzerörgeli Verband,,Zürich,,National,CH,,,Association,de,Schwyzerörgeli,Association,
contact@musiquetrad.ch,,Musique Traditionnelle Suisse,,Genève,,Romandie,CH,,,Association,fr,Musique traditionnelle,Association,
info@accordeon-suisse.ch,,Accordéon Suisse,,Bern,,National,CH,,,Association,de/fr,Accordéon,Association,
schwyzerorgeli@musikschule.ch,,Musikschule Schwyzerörgeli,,Schwyz,,Zentralschweiz,CH,,,Music School,de,Schwyzerörgeli,École,
info@volksmusik.ch,,Volksmusik Schweiz,,Luzern,,National,CH,,,Association,de,Volksmusik,Association,
contact@balfolk.ch,,Balfolk Schweiz,,Various,,National,CH,,,Network,de/fr,Bal Folk,Réseau,
info@alpenmusik.ch,,Alpenmusik Verband,,Bern,,National,CH,,,Association,de,Alpenmusik,Verband,
schwyzerorgeli.lehrer@gmail.com,,Schwyzerörgeli Lehrer,,Luzern,,Zentralschweiz,CH,,,Teacher,de,Schwyzerörgeli,Professeur,
info@musikhaus-fischer.ch,,Musikhaus Fischer,,Zürich,,Zürich,CH,044 251 50 80,,Music Store,de,Schwyzerörgeli,Magasin,
accordeon@conservatoire-geneve.ch,,Conservatoire de Genève,,Genève,,Romandie,CH,022 319 60 60,,Conservatory,fr,Accordéon,Conservatoire,
info@alpenfestival.ch,,Alpenfestival,,Interlaken,,Bern,CH,,,Festival,de,Alpenmusik,Festival,
volksmusik@bern.ch,,Volksmusik Bern,,Bern,,Bern,CH,,,Association,de,Volksmusik,Association locale,
info@harmonika-shop.ch,,Harmonika Shop,,Zürich,,Zürich,CH,,,Music Store,de,Harmonika,Magasin en ligne,
schwyzerorgeli@kurse.ch,,Schwyzerörgeli Kurse,,Schwyz,,Zentralschweiz,CH,,,Workshop Organizer,de,Schwyzerörgeli,Cours,
info@trikitixa.eus,,Trikitixa Elkartea,,Donostia-San Sebastián,,País Vasco,ES,,,Association,eu/es,Trikitixa,Asociación,
trikitixa@euskalherria.eus,,Trikitixa Euskal Herria,,Bilbao,,País Vasco,ES,,,Network,eu,Trikitixa,Red,
info@musicatradicional.es,,Música Tradicional España,,Madrid,,Nacional,ES,,,Network,es,Música tradicional,Red nacional,
acordeon@galicia.es,,Acordeón Galicia,,Santiago,,Galicia,ES,,,Association,es/gl,Acordeón,Asociación,
info@folkcatalunya.cat,,Folk Catalunya,,Barcelona,,Catalunya,ES,,,Association,ca/es,Música folk,Associació,
escuela.trikitixa@gmail.com,,Escuela de Trikitixa,,Vitoria,,País Vasco,ES,,,School,es/eu,Trikitixa,Escuela,
info@musicatradastur.es,,Música Tradicional Asturiana,,Oviedo,,Asturias,ES,,,Association,es,Música tradicional,Asociación,
folk.madrid@gmail.com,,Folk Madrid,,Madrid,,Madrid,ES,,,Association,es,Folk,Asociación,
info@festivaltrad.es,,Festival Música Tradicional,,Various,,Nacional,ES,,,Festival,es,Música tradicional,Festival,
trikitixa.donosti@gmail.com,,Trikitixa Donosti,,Donostia,,País Vasco,ES,,,School,eu/es,Trikitixa,Escuela,
info@acordeones.es,,Acordeones España,,Madrid,,Nacional,ES,,,Music Store,es,Acordeón,Tienda,
contact@danzatrad.es,,Danza Tradicional España,,Various,,Nacional,ES,,,Dance Association,es,Danza,Asociación danza,
acordeon@asturias.es,,Acordeón Asturiano,,Gijón,,Asturias,ES,,,Association,es,Acordeón,Asociación,
info@musictrad.cat,,Música Tradicional Catalana,,Barcelona,,Catalunya,ES,,,Cultural Center,ca,Música tradicional,Centre cultural,
trikitixa@irun.eus,,Trikitixa Irun,,Irun,,País Vasco,ES,,,Association,eu,Trikitixa,Asociación local,
info@volksmusikbund.at,,Österreichischer Volksmusikbund,,Wien,,National,AT,,,National Federation,de,Volksmusik,Bundesverband,
steirische@harmonika.at,,Steirische Harmonika Austria,,Graz,,National,AT,,,Association,de,Steirische Harmonika,Verein,
info@volksmusik-steiermark.at,,Volksmusik Steiermark,,Graz,,Steiermark,AT,,,Regional Association,de,Volksmusik,Landesverband,
kontakt@alpenlaendische-volksmusik.at,,Alpenländische Volksmusik,,Innsbruck,,Tirol,AT,,,Association,de,Volksmusik,Verein,
info@musikschule-wien.at,,Musikschule Wien,,Wien,,Wien,AT,,,Music School,de,Steirische Harmonika,Musikschule,
steirische.lehrer@aon.at,,Steirische Harmonika Lehrer,,Graz,,Steiermark,AT,,,Teacher,de,Steirische Harmonika,Lehrer,
info@volkstanz.at,,Volkstanz Österreich,,Salzburg,,National,AT,,,Dance Association,de,Volkstanz,Tanzverein,
harmonika@salzburg.at,,Harmonika Verband Salzburg,,Salzburg,,Salzburg,AT,,,Regional Association,de,Harmonika,Verband,
info@musikhaus-doblinger.at,,Musikhaus Doblinger,,Wien,,Wien,AT,01 515 03,,Music Store,de,Steirische Harmonika,Musikgeschäft,
kontakt@volksmusikfestival.at,,Volksmusik Festival,,Murau,,Steiermark,AT,,,Festival,de,Volksmusik,Festival,
info@harmonikaschule.at,,Harmonika Schule Austria,,Linz,,Oberösterreich,AT,,,School,de,Steirische Harmonika,Schule,
volksmusik@tirol.at,,Volksmusik Tirol,,Innsbruck,,Tirol,AT,,,Regional Association,de,Volksmusik,Verein,
info@steirische-werkstatt.at,,Steirische Werkstatt,,Graz,,Steiermark,AT,,,Luthier,de,Steirische Harmonika,Werkstatt,
kontakt@alpenmusik.at,,Alpenmusik Verband,,Klagenfurt,,National,AT,,,Association,de,Alpenmusik,Verband,
harmonika@kaernten.at,,Harmonika Kärnten,,Klagenfurt,,Kärnten,AT,,,Regional Association,de,Harmonika,Verein,
info@balfolk.nl,,Balfolk Nederland,,Amsterdam,,National,NL,,,Network,nl,Balfolk,Netwerk,
contact@volksmuziek.nl,,Volksmuziek Nederland,,Utrecht,,National,NL,,,Association,nl,Volksmuziek,Vereniging,
accordeon@muziekschool.nl,,Muziekschool Accordeon,,Amsterdam,,Noord-Holland,NL,,,Music School,nl,Accordeon,Muziekschool,
info@folkfestival.nl,,Folk Festival Nederland,,Various,,National,NL,,,Festival,nl,Folk,Festival,
trekharmonica@holland.nl,,Trekharmonica Nederland,,Various,,National,NL,,,Association,nl,Trekharmonica,Vereniging,
info@muziekhuis.nl,,Muziekhuis Nederland,,Rotterdam,,Zuid-Holland,NL,,,Music Store,nl,Accordeon,Muziekwinkel,
balfolk.amsterdam@gmail.com,,Balfolk Amsterdam,,Amsterdam,,Noord-Holland,NL,,,Association,nl,Balfolk,Vereniging,
contact@traditionelemuziek.nl,,Traditionele Muziek,,Den Haag,,National,NL,,,Association,nl,Traditionele muziek,Vereniging,
accordeon.reparatie@gmail.com,,Accordeon Reparatie,,Utrecht,,Utrecht,NL,,,Luthier,nl,Accordeon,Reparatieservice,
info@folkclub-utrecht.nl,,Folkclub Utrecht,,Utrecht,,Utrecht,NL,,,Folk Club,nl,Folk,Club,
volksmuziek@groningen.nl,,Volksmuziek Groningen,,Groningen,,Groningen,NL,,,Regional Association,nl,Volksmuziek,Vereniging,
info@muziekles-accordeon.nl,,Muziekles Accordeon,,Eindhoven,,Noord-Brabant,NL,,,Teacher,nl,Accordeon,Muziekleraar,
balfolk.rotterdam@gmail.com,,Balfolk Rotterdam,,Rotterdam,,Zuid-Holland,NL,,,Association,nl,Balfolk,Vereniging,
contact@concertina.pt,,Concertina Portugal,,Lisboa,,Nacional,PT,,,Association,pt,Concertina,Associação,
info@musicatradicional.pt,,Música Tradicional Portuguesa,,Porto,,Nacional,PT,,,Association,pt,Música tradicional,Associação,
concertina@minho.pt,,Concertina Minho,,Braga,,Norte,PT,,,Regional Association,pt,Concertina,Associação regional,
info@acordeao.pt,,Acordeão Portugal,,Lisboa,,Nacional,PT,,,Association,pt,Acordeão,Associação,
musica.popular@portugal.pt,,Música Popular Portuguesa,,Various,,Nacional,PT,,,Network,pt,Música popular,Rede,
concertina.coimbra@sapo.pt,,Concertina Coimbra,,Coimbra,,Centro,PT,,,Association,pt,Concertina,Associação,
info@rancho-folclorico.pt,,Rancho Folclórico,,Various,,Nacional,PT,,,Folk Dance,pt,Dança folclórica,Associação dança,
contact@festivalconcertina.pt,,Festival da Concertina,,Viana do Castelo,,Norte,PT,,,Festival,pt,Concertina,Festival,
musica.trad@lisboa.pt,,Música Tradicional Lisboa,,Lisboa,,Lisboa,PT,,,Association,pt,Música tradicional,Associação,
info@acordeonista.pt,,Acordeonistas Portugal,,Porto,,Nacional,PT,,,Association,pt,Acordeão,Associação,
concertina@alentejo.pt,,Concertina Alentejo,,Évora,,Alentejo,PT,,,Regional Association,pt,Concertina,Associação regional,
